hyperparameters,test_metrics_mean_acc,test_metrics_macro_F1
32.0,27.659574468085108,22.434613997113996
15.0,27.659574468085108,22.434613997113996
0.001,27.659574468085108,22.434613997113996
64.0,27.659574468085108,22.434613997113996
32.0,44.680851063829785,28.805918493608
15.0,44.680851063829785,28.805918493608
0.001,44.680851063829785,28.805918493608
128.0,44.680851063829785,28.805918493608
64.0,43.61702127659575,24.548766606956264
15.0,43.61702127659575,24.548766606956264
0.001,43.61702127659575,24.548766606956264
64.0,43.61702127659575,24.548766606956264
64.0,40.42553191489361,29.977758398957064
15.0,40.42553191489361,29.977758398957064
0.001,40.42553191489361,29.977758398957064
128.0,40.42553191489361,29.977758398957064
32.0,35.1063829787234,13.894110275689222
15.0,35.1063829787234,13.894110275689222
0.002,35.1063829787234,13.894110275689222
64.0,35.1063829787234,13.894110275689222
32.0,21.27659574468085,17.619163352481955
15.0,21.27659574468085,17.619163352481955
0.002,21.27659574468085,17.619163352481955
128.0,21.27659574468085,17.619163352481955
64.0,37.234042553191486,17.066509682696854
15.0,37.234042553191486,17.066509682696854
0.002,37.234042553191486,17.066509682696854
64.0,37.234042553191486,17.066509682696854
64.0,26.595744680851062,7.335752482811306
15.0,26.595744680851062,7.335752482811306
0.002,26.595744680851062,7.335752482811306
128.0,26.595744680851062,7.335752482811306
32.0,27.659574468085108,16.139820095516296
15.0,27.659574468085108,16.139820095516296
0.0015,27.659574468085108,16.139820095516296
96.0,27.659574468085108,16.139820095516296
