Epoch,Type (TRAIN),Mean Accuracy (TRAIN),Precision (TRAIN),Sensitivity (TRAIN),Specificity (TRAIN),FNR (TRAIN),F1 Score (TRAIN),Epoch,Type (VAL),Mean Accuracy (VAL),Precision (VAL),Sensitivity (VAL),Specificity (VAL),FNR (VAL),F1 Score (VAL),Epoch,Type (TEST),Mean Accuracy (TEST),Precision (TEST),Sensitivity (TEST),Specificity (TEST),FNR (TEST),F1 Score (TEST),Epoch,Type (TEST),Mean Accuracy (TEST),Precision (TEST),Sensitivity (TEST),Specificity (TEST),FNR (TEST),F1 Score (TEST)
0,Overall (Macro-Average),15.14745308310992,20.366148507500252,6.712277136551128,93.2663982198483,93.28772286344888,9.567628650435344,0,Overall (Macro-Average),30.107526881720432,8.706690561529271,17.5,84.03614457831326,82.5,11.55686936936937,1,Overall (Macro-Average),44.680851063829785,16.103896103896105,17.772435897435898,92.70833333333333,82.2275641025641,16.887131560028756,1,Overall (Macro-Average),14.893617021276595,36.4080459770115,29.981381975867272,89.07773184640561,70.01861802413272,28.805918493608
0,Alignment,51.742627345844504,61.86046511627907,32.360097323600975,75.5223880597015,67.63990267639902,42.49201277955272,0,Alignment,54.83870967741935,54.83870967741935,100.0,0.0,0.0,70.83333333333333,1,Alignment,73.40425531914893,74.54545454545455,78.84615384615384,66.66666666666666,21.153846153846153,76.6355140186916,1,Alignment,56.38297872340425,62.22222222222222,53.84615384615385,59.523809523809526,46.15384615384615,57.7319587628866
0,Soft_tissue_Swelling,84.98659517426273,6.0606060606060606,2.4096385542168677,95.32428355957768,97.59036144578313,3.4482758620689657,0,Soft_tissue_Swelling,68.81720430107528,14.814814814814813,40.0,72.28915662650603,60.0,21.62162162162162,1,Soft_tissue_Swelling,89.36170212765957,0.0,0.0,100.0,100.0,0.0,1,Soft_tissue_Swelling,89.36170212765957,0.0,0.0,100.0,100.0,0.0
0,Listhesis,89.27613941018767,4.761904761904762,1.639344262295082,97.08029197080292,98.36065573770492,2.4390243902439024,0,Listhesis,90.32258064516128,0.0,0.0,100.0,100.0,0.0,1,Listhesis,87.2340425531915,0.0,0.0,100.0,100.0,0.0,1,Listhesis,90.42553191489363,80.0,33.33333333333333,98.78048780487805,66.66666666666666,47.058823529411754
0,Fracture,87.39946380697052,37.5,3.260869565217391,99.2354740061162,96.73913043478261,6.0,0,Fracture,84.94623655913979,0.0,0.0,100.0,100.0,0.0,1,Fracture,81.91489361702128,0.0,0.0,100.0,100.0,0.0,1,Fracture,78.72340425531915,44.44444444444444,70.58823529411765,80.51948051948052,29.411764705882355,54.54545454545455
0,Dislocation,93.02949061662198,0.0,0.0,95.85635359116023,100.0,0.0,0,Dislocation,96.7741935483871,0.0,0.0,100.0,100.0,0.0,1,Dislocation,93.61702127659575,0.0,0.0,100.0,100.0,0.0,1,Dislocation,93.61702127659575,0.0,0.0,100.0,100.0,0.0
0,Spinous,89.54423592493298,0.0,0.0,95.29243937232525,100.0,0.0,0,Spinous,97.84946236559139,0.0,0.0,100.0,100.0,0.0,1,Spinous,94.68085106382979,0.0,0.0,100.0,100.0,0.0,1,Spinous,94.68085106382979,0.0,0.0,100.0,100.0,0.0
0,Other_Pathogens,79.62466487935657,12.121212121212121,3.149606299212598,95.31502423263328,96.8503937007874,4.999999999999999,0,Other_Pathogens,82.79569892473118,0.0,0.0,100.0,100.0,0.0,1,Other_Pathogens,82.97872340425532,0.0,0.0,100.0,100.0,0.0,1,Other_Pathogens,75.53191489361703,37.93103448275862,68.75,76.92307692307693,31.25,48.888888888888886
0,normal,66.3538873994638,40.625,10.87866108786611,92.50493096646942,89.1213389121339,17.161716171617165,0,normal,67.74193548387096,0.0,0.0,100.0,100.0,0.0,1,normal,71.27659574468085,54.285714285714285,63.33333333333333,75.0,36.666666666666664,58.46153846153845,1,normal,70.2127659574468,66.66666666666666,13.333333333333334,96.875,86.66666666666667,22.222222222222225
1,Overall (Macro-Average),14.075067024128687,17.990196078431374,4.810824705535025,98.6373605346051,95.18917529446497,7.458847736625515,1,Overall (Macro-Average),17.20430107526882,16.927083333333332,5.196078431372549,97.91666666666666,94.80392156862746,7.950631458094145,1,Overall (Macro-Average),44.680851063829785,16.103896103896105,17.772435897435898,92.70833333333333,82.2275641025641,16.887131560028756,1,Overall (Macro-Average),14.893617021276595,36.4080459770115,29.981381975867272,89.07773184640561,70.01861802413272,28.805918493608
