Epoch,Type (TRAIN),Mean Accuracy (TRAIN),Precision (TRAIN),Sensitivity (TRAIN),Specificity (TRAIN),FNR (TRAIN),F1 Score (TRAIN),Epoch,Type (VAL),Mean Accuracy (VAL),Precision (VAL),Sensitivity (VAL),Specificity (VAL),FNR (VAL),F1 Score (VAL),Epoch,Type (TEST),Mean Accuracy (TEST),Precision (TEST),Sensitivity (TEST),Specificity (TEST),FNR (TEST),F1 Score (TEST),Epoch,Type (TEST),Mean Accuracy (TEST),Precision (TEST),Sensitivity (TEST),Specificity (TEST),FNR (TEST),F1 Score (TEST)
0,Overall (Macro-Average),5.495978552278821,20.89720234222511,8.384845869667483,93.05551067160177,91.61515413033251,11.166957456902336,0,Overall (Macro-Average),25.806451612903224,6.1688311688311686,9.313725490196079,88.11813186813185,90.68627450980392,7.421875,1,Overall (Macro-Average),26.595744680851062,20.606617647058822,14.341299019607844,89.29534007659008,85.65870098039215,15.248376623376625,1,Overall (Macro-Average),23.404255319148938,25.14724858474859,17.799066742081447,88.20095717404911,82.20093325791855,19.529950401734173
0,Alignment,47.18498659517426,55.15151515151515,22.14111922141119,77.91044776119404,77.85888077858881,31.597222222222218,0,Alignment,44.086021505376344,49.35064935064935,74.50980392156863,7.142857142857142,25.49019607843137,59.375,1,Alignment,55.319148936170215,57.35294117647059,75.0,30.952380952380953,25.0,65.0,1,Alignment,48.93617021276596,54.761904761904766,44.230769230769226,54.761904761904766,55.769230769230774,48.93617021276596
0,Soft_tissue_Swelling,87.93565683646113,18.181818181818183,2.4096385542168677,98.64253393665159,97.59036144578313,4.25531914893617,0,Soft_tissue_Swelling,89.24731182795699,0.0,0.0,100.0,100.0,0.0,1,Soft_tissue_Swelling,89.36170212765957,0.0,0.0,100.0,100.0,0.0,1,Soft_tissue_Swelling,87.2340425531915,0.0,0.0,97.61904761904762,100.0,0.0
0,Listhesis,86.46112600536193,15.517241379310345,14.754098360655737,92.84671532846716,85.24590163934425,15.126050420168069,0,Listhesis,90.32258064516128,0.0,0.0,100.0,100.0,0.0,1,Listhesis,87.2340425531915,0.0,0.0,100.0,100.0,0.0,1,Listhesis,86.17021276595744,33.33333333333333,8.333333333333332,97.5609756097561,91.66666666666666,13.333333333333334
0,Fracture,87.53351206434317,0.0,0.0,99.84709480122325,100.0,0.0,0,Fracture,84.94623655913979,0.0,0.0,100.0,100.0,0.0,1,Fracture,79.7872340425532,37.5,17.647058823529413,93.5064935064935,82.35294117647058,24.000000000000004,1,Fracture,80.85106382978722,45.45454545454545,29.411764705882355,92.20779220779221,70.58823529411765,35.714285714285715
0,Dislocation,96.7828418230563,25.0,4.545454545454546,99.58563535911603,95.45454545454545,7.6923076923076925,0,Dislocation,96.7741935483871,0.0,0.0,100.0,100.0,0.0,1,Dislocation,93.61702127659575,0.0,0.0,100.0,100.0,0.0,1,Dislocation,93.61702127659575,0.0,0.0,100.0,100.0,0.0
0,Spinous,87.66756032171583,5.660377358490567,6.666666666666667,92.86733238231099,93.33333333333333,6.122448979591836,0,Spinous,95.6989247311828,0.0,0.0,97.8021978021978,100.0,0.0,1,Spinous,94.68085106382979,0.0,0.0,100.0,100.0,0.0,1,Spinous,92.5531914893617,0.0,0.0,97.75280898876404,100.0,0.0
0,Other_Pathogens,79.75871313672923,25.0,9.448818897637794,94.18416801292408,90.5511811023622,13.714285714285714,0,Other_Pathogens,82.79569892473118,0.0,0.0,100.0,100.0,0.0,1,Other_Pathogens,82.97872340425532,50.0,18.75,96.15384615384616,81.25,27.272727272727273,1,Other_Pathogens,72.3404255319149,29.166666666666668,43.75,78.2051282051282,56.25,35.0
0,normal,62.466487935656836,22.666666666666664,7.112970711297072,88.56015779092702,92.88702928870293,10.828025477707007,0,normal,67.74193548387096,0.0,0.0,100.0,100.0,0.0,1,normal,64.8936170212766,20.0,3.3333333333333335,93.75,96.66666666666667,5.714285714285715,1,normal,64.8936170212766,38.46153846153847,16.666666666666664,87.5,83.33333333333334,23.25581395348837
1,Overall (Macro-Average),11.662198391420912,16.177248677248677,3.7990198141367078,96.91928625426738,96.2009801858633,5.36971902781176,1,Overall (Macro-Average),0.0,1.7857142857142856,3.75,96.87706871441812,96.25,2.4193548387096775,1,Overall (Macro-Average),26.595744680851062,20.606617647058822,14.341299019607844,89.29534007659008,85.65870098039215,15.248376623376625,1,Overall (Macro-Average),23.404255319148938,25.14724858474859,17.799066742081447,88.20095717404911,82.20093325791855,19.529950401734173
1,Alignment,50.402144772117964,60.84656084656085,27.980535279805352,77.91044776119404,72.01946472019465,38.33333333333333,1,Alignment,45.16129032258064,0.0,0.0,100.0,100.0,0.0,1,Alignment,55.319148936170215,57.35294117647059,75.0,30.952380952380953,25.0,65.0,1,Alignment,48.93617021276596,54.761904761904766,44.230769230769226,54.761904761904766,55.769230769230774,48.93617021276596
1,Soft_tissue_Swelling,88.8739946380697,0.0,0.0,100.0,100.0,0.0,1,Soft_tissue_Swelling,73.11827956989248,14.285714285714285,30.0,78.3132530120482,70.0,19.35483870967742,1,Soft_tissue_Swelling,89.36170212765957,0.0,0.0,100.0,100.0,0.0,1,Soft_tissue_Swelling,87.2340425531915,0.0,0.0,97.61904761904762,100.0,0.0
