Epoch,Type (TRAIN),Mean Accuracy (TRAIN),Precision (TRAIN),Sensitivity (TRAIN),Specificity (TRAIN),FNR (TRAIN),F1 Score (TRAIN),Epoch,Type (VAL),Mean Accuracy (VAL),Precision (VAL),Sensitivity (VAL),Specificity (VAL),FNR (VAL),F1 Score (VAL),Epoch,Type (TEST),Mean Accuracy (TEST),Precision (TEST),Sensitivity (TEST),Specificity (TEST),FNR (TEST),F1 Score (TEST),Epoch,Type (TEST),Mean Accuracy (TEST),Precision (TEST),Sensitivity (TEST),Specificity (TEST),FNR (TEST),F1 Score (TEST)
0,Overall (Macro-Average),10.187667560321715,17.161658967758534,15.548393669261092,82.98832854965167,84.45160633073891,15.16154863661333,0,Overall (Macro-Average),0.0,0.0,0.0,100.0,100.0,0.0,1,Overall (Macro-Average),27.659574468085108,11.335227272727273,11.971153846153847,86.27118720963995,88.02884615384616,7.036128456735058,1,Overall (Macro-Average),1.0638297872340425,15.06482744845686,47.604166666666664,54.62679311288305,52.395833333333336,21.78776306523016
0,Alignment,46.91689008042895,53.01204819277109,32.11678832116788,65.07462686567163,67.88321167883211,40.0,0,Alignment,45.16129032258064,0.0,0.0,100.0,100.0,0.0,1,Alignment,45.744680851063826,60.0,5.769230769230769,95.23809523809523,94.23076923076923,10.526315789473683,1,Alignment,55.319148936170215,55.319148936170215,100.0,0.0,0.0,71.23287671232876
0,Soft_tissue_Swelling,69.43699731903486,10.81081081081081,24.096385542168676,75.1131221719457,75.90361445783132,14.92537313432836,0,Soft_tissue_Swelling,89.24731182795699,0.0,0.0,100.0,100.0,0.0,1,Soft_tissue_Swelling,89.36170212765957,0.0,0.0,100.0,100.0,0.0,1,Soft_tissue_Swelling,89.36170212765957,0.0,0.0,100.0,100.0,0.0
0,Listhesis,80.16085790884718,6.0606060606060606,9.836065573770492,86.42335766423358,90.1639344262295,7.5,0,Listhesis,90.32258064516128,0.0,0.0,100.0,100.0,0.0,1,Listhesis,78.72340425531915,0.0,0.0,90.2439024390244,100.0,0.0,1,Listhesis,14.893617021276595,13.043478260869565,100.0,2.4390243902439024,0.0,23.076923076923077
0,Fracture,81.63538873994638,15.384615384615385,10.869565217391305,91.59021406727828,89.13043478260869,12.738853503184714,0,Fracture,84.94623655913979,0.0,0.0,100.0,100.0,0.0,1,Fracture,81.91489361702128,0.0,0.0,100.0,100.0,0.0,1,Fracture,81.91489361702128,0.0,0.0,100.0,100.0,0.0
0,Dislocation,97.05093833780161,0.0,0.0,100.0,100.0,0.0,0,Dislocation,96.7741935483871,0.0,0.0,100.0,100.0,0.0,1,Dislocation,93.61702127659575,0.0,0.0,100.0,100.0,0.0,1,Dislocation,93.61702127659575,0.0,0.0,100.0,100.0,0.0
0,Spinous,78.01608579088472,4.580152671755725,13.333333333333334,82.16833095577746,86.66666666666667,6.8181818181818175,0,Spinous,97.84946236559139,0.0,0.0,100.0,100.0,0.0,1,Spinous,94.68085106382979,0.0,0.0,100.0,100.0,0.0,1,Spinous,94.68085106382979,0.0,0.0,100.0,100.0,0.0
0,Other_Pathogens,77.07774798927613,17.647058823529413,9.448818897637794,90.95315024232633,90.5511811023622,12.307692307692308,0,Other_Pathogens,82.79569892473118,0.0,0.0,100.0,100.0,0.0,1,Other_Pathogens,82.97872340425532,0.0,0.0,100.0,100.0,0.0,1,Other_Pathogens,31.914893617021278,18.421052631578945,87.5,20.51282051282051,12.5,30.43478260869565
0,normal,57.23860589812333,29.797979797979796,24.686192468619247,72.58382642998028,75.31380753138075,27.00228832951945,0,normal,67.74193548387096,0.0,0.0,100.0,100.0,0.0,1,normal,31.914893617021278,30.681818181818183,90.0,4.6875,10.0,45.76271186440678,1,normal,39.361702127659576,33.734939759036145,93.33333333333333,14.0625,6.666666666666667,49.557522123893804
1,Overall (Macro-Average),2.680965147453083,16.478539482042258,11.637769093546986,88.95139688260753,88.36223090645301,13.182847187916073,1,Overall (Macro-Average),0.0,0.0,0.0,100.0,100.0,0.0,1,Overall (Macro-Average),27.659574468085108,11.335227272727273,11.971153846153847,86.27118720963995,88.02884615384616,7.036128456735058,1,Overall (Macro-Average),1.0638297872340425,15.06482744845686,47.604166666666664,54.62679311288305,52.395833333333336,21.78776306523016
